40517,16,Keyword or statement option '%.*ls' is not supported in this version of SQL Server.
102,15,Incorrect syntax near '%.*ls'.
241,16,Conversion failed when converting date and/or time from character string.
8117,16,Operand data type %ls is invalid for %ls operator.
206,16,Operand type clash: %ls is incompatible with %ls
1001,16,Line %d: Length or precision specification %d is invalid.
8115,16,Arithmetic overflow error converting %ls to data type %ls.
137,15,Must declare the scalar variable "%.*ls".
8156,15,The column '%.*ls' was specified multiple times for '%.*ls'.
448,16,Invalid collation '%.*ls'.
8120,16,Column '%.*ls.%.*ls' is invalid in the select list because it is not contained in either an aggregate function or the GROUP BY clause.
207,16,Invalid column name '%.*ls'.
208,16,Invalid object name '%.*ls'.
209,16,Ambiguous column name '%.*ls'.
245,16,Conversion failed when converting the %ls value '%.*ls' to data type %ls.
468,16,Cannot resolve the collation conflict between "%.*ls" and "%.*ls" in the %ls operation.
1011,15,The correlation name '%.*ls' is specified multiple times in a FROM clause.
1012,15,The correlation name '%.*ls' has the same exposed name as table '%.*ls'.
1013,15,The objects "%.*ls" and "%.*ls" in the FROM clause have the same exposed names. Use correlation names to distinguish them.
515,16,Cannot insert the value NULL into column '%.*ls', table '%.*ls'; column does not allow nulls. %ls fails.
271,16,The column "%.*ls" cannot be modified because it is either a computed column or is the result of a UNION operator.
2715,16,Column, parameter, or variable #%d: Cannot find data type %.*ls.
10715,15,'%.*ls' is not a valid hint.
15517,16,Cannot execute as the database principal because the principal "%.*ls" does not exist, this type of principal cannot be impersonated, or you do not have permission.
313,16,An insufficient number of arguments were supplied for the procedure or function %.*ls.
8144,16,Procedure or function %.*ls has too many arguments specified.
2812,16,Could not find stored procedure '%.*ls'.
119,15,Must pass parameter number %d and subsequent parameters as '@name = value'. After the form '@name = value' has been used, all subsequent parameters must be passed in the form '@name = value'.
8145,16,%.*ls is not a parameter for procedure %.*ls.
201,16,Procedure or function '%.*ls' expects parameter '%.*ls', which was not supplied.
529,16,Explicit conversion from data type %ls to %ls is not allowed.
8116,16,Argument data type %ls is invalid for argument %d of %ls function.
8152,16,String or binary data would be truncated.
8114,16,Error converting data type %ls to %ls.
245,16,Conversion failed when converting the %ls value '%.*ls' to data type %ls.
235,16,Cannot convert a char value to money. The char value has incorrect syntax.
293,16,Cannot convert char value to smallmoney. The char value has incorrect syntax.
